,city,day_weather,max_temperature,night_weather,min_temperature
0,北京,小雨 东风 <3级,28,小雨 北风 <3级,23
1,海淀,小雨 东风 <3级,28,小雨 北风 <3级,22
2,朝阳,小雨 东风 <3级,28,小雨 北风 <3级,23
3,顺义,小雨 东南风 <3级,28,小雨 北风 <3级,23
4,怀柔,小雨 南风 <3级,27,小雨 北风 <3级,22
5,通州,小雨 东风 <3级,28,小雨 北风 <3级,22
6,昌平,小雨 东南风 <3级,27,小雨 西北风 <3级,23
7,延庆,小雨 东南风 <3级,25,多云 西风 <3级,19
8,丰台,小雨 东风 <3级,28,小雨 北风 <3级,23
9,石景山,小雨 东风 <3级,28,小雨 北风 <3级,22
10,大兴,小雨 东风 <3级,28,小雨 东北风 <3级,23
11,房山,小雨 东风 <3级,28,小雨 北风 <3级,23
12,密云,小雨 南风 <3级,28,小雨 北风 <3级,22
13,门头沟,小雨 东风 <3级,28,小雨 西北风 <3级,23
14,平谷,小雨 东南风 <3级,28,小雨 北风 <3级,22
15,东城,小雨 东风 <3级,28,小雨 北风 <3级,23
16,西城,小雨 东风 <3级,28,小雨 北风 <3级,22
17,哈尔滨,多云 西南风 <3级,29,多云 西南风 <3级,18
18,齐齐哈尔,晴 东南风 <3级,29,多云 北风 <3级,19
19,牡丹江,晴 西南风 3-4级,29,晴 西南风 <3级,15
20,佳木斯,多云 东风 <3级,28,多云 东北风 <3级,16
21,绥化,多云 南风 <3级,28,多云 北风 <3级,18
22,黑河,多云 西风 <3级,27,多云 西风 <3级,14
23,大兴安岭,多云 西风 <3级,26,中雨 西南风 <3级,13
24,伊春,多云 西风 <3级,27,多云 西南风 <3级,13
25,大庆,晴 东北风 <3级,30,晴 北风 <3级,20
26,七台河,多云 东风 <3级,29,多云 西风 <3级,17
27,鸡西,多云 西风 <3级,28,多云 西风 <3级,17
28,鹤岗,多云 西南风 <3级,28,多云 西南风 <3级,13
29,双鸭山,多云 西南风 <3级,28,多云 西北风 <3级,18
30,上海,阴 东南风 3-4级,33,多云 东南风 3-4级,27
31,闵行,阴 东南风 3-4级,32,多云 东南风 3-4级,27
32,宝山,阴 东南风 3-4级,32,多云 东南风 3-4级,27
33,黄浦,阴 东南风 3-4级,33,多云 东南风 3-4级,27
34,嘉定,阴 东南风 3-4级,33,多云 东南风 3-4级,27
35,浦东新区,阴 东南风 3-4级,32,多云 东南风 3-4级,27
36,金山,阴 东南风 3-4级,32,多云 东南风 3-4级,27
37,青浦,阴 东南风 3-4级,33,多云 东南风 3-4级,27
38,松江,阴 东南风 3-4级,32,多云 东南风 3-4级,26
39,奉贤,阴 东南风 3-4级,32,小雨 东南风 3-4级,27
40,崇明,阴 东南风 3-4级,31,小雨 东南风 3-4级,27
41,徐汇,阴 东南风 3-4级,33,多云 东南风 3-4级,27
42,长宁,阴 东南风 3-4级,33,多云 东南风 3-4级,27
43,静安,阴 东南风 3-4级,33,多云 东南风 3-4级,27
44,普陀,阴 东南风 3-4级,33,多云 东南风 3-4级,27
45,虹口,阴 东南风 3-4级,33,多云 东南风 3-4级,27
46,杨浦,阴 东南风 3-4级,33,多云 东南风 3-4级,27
47,武汉,小雨 南风 3-4级,33,多云 东风 <3级,25
48,襄阳,多云 东南风 <3级,33,多云 北风 <3级,24
49,鄂州,小雨 东南风 3-4级,32,多云 东南风 3-4级,26
50,孝感,小雨 南风 3-4级,33,多云 东北风 <3级,25
51,黄冈,小雨 东南风 3-4级,32,多云 东风 <3级,26
52,黄石,小雨 东南风 3-4级,33,多云 东南风 <3级,26
53,咸宁,多云 南风 <3级,34,多云 东南风 <3级,25
54,荆州,多云 南风 3-4级,35,多云 东北风 <3级,26
55,宜昌,多云 南风 <3级,34,多云 东北风 <3级,25
56,恩施,阴 南风 <3级,35,阴 北风 <3级,24
57,十堰,阴 东风 <3级,35,多云 东风 <3级,24
58,神农架,多云 东风 <3级,31,多云 东北风 <3级,20
59,随州,小雨 南风 <3级,31,多云 东北风 <3级,25
60,荆门,多云 东南风 <3级,34,多云 东北风 <3级,26
61,天门,多云 南风 3-4级,34,多云 东北风 <3级,26
62,仙桃,多云 南风 3-4级,34,多云 北风 <3级,25
63,潜江,多云 南风 3-4级,35,多云 东北风 <3级,26
64,南宁,阵雨 东风 <3级,34,多云 东风 <3级,26
65,崇左,阵雨 东南风 <3级,32,多云 东南风 <3级,25
66,柳州,多云 南风 <3级,35,多云 南风 <3级,27
67,来宾,阵雨 南风 <3级,34,多云 南风 <3级,25
68,桂林,多云 南风 <3级,35,多云 南风 <3级,26
69,梧州,中雨 东风 <3级,33,中雨 东风 <3级,25
70,贺州,阵雨 南风 <3级,34,阵雨 南风 <3级,25
71,贵港,晴 西南风 <3级,34,小雨 南风 <3级,26
72,玉林,雷阵雨 西南风 <3级,33,多云 南风 <3级,25
73,百色,多云 东南风 <3级,34,多云 东南风 <3级,25
74,钦州,阵雨 南风 <3级,32,阵雨 南风 <3级,25
75,河池,多云 南风 <3级,35,多云 南风 <3级,25
76,北海,雷阵雨 南风 <3级,31,雷阵雨 南风 <3级,26
77,防城港,阵雨 南风 <3级,32,阵雨 南风 <3级,26
78,西安,晴 东北风 <3级,35,晴 东风 <3级,23
79,咸阳,晴 东风 <3级,35,晴 东北风 3-4级,24
80,延安,晴 东风 <3级,28,多云 东南风 <3级,16
81,榆林,晴 东风 <3级,28,多云 东风 <3级,18
82,渭南,多云 东北风 <3级,33,晴 南风 <3级,21
83,商洛,多云 北风 <3级,32,晴 东南风 <3级,20
84,安康,晴 西风 <3级,36,晴 东风 <3级,25
85,汉中,晴 东北风 <3级,34,晴 西南风 <3级,24
86,宝鸡,晴 东北风 <3级,34,晴 西南风 <3级,22
87,铜川,多云 南风 <3级,33,多云 北风 <3级,21
88,杨凌,晴 东南风 <3级,35,晴 北风 <3级,22
89,成都,多云 无持续风向 <3级,34,多云 无持续风向 <3级,24
90,攀枝花,多云 无持续风向 <3级,33,小雨 无持续风向 <3级,21
91,自贡,晴 无持续风向 <3级,35,多云 无持续风向 <3级,24
92,绵阳,多云 无持续风向 <3级,34,多云 无持续风向 <3级,24
93,南充,多云 无持续风向 <3级,36,晴 无持续风向 <3级,25
94,达州,多云 无持续风向 <3级,37,多云 无持续风向 <3级,25
95,遂宁,多云 无持续风向 <3级,36,晴 无持续风向 <3级,25
96,广安,多云 无持续风向 <3级,36,晴 无持续风向 <3级,25
97,巴中,多云 无持续风向 <3级,35,多云 无持续风向 <3级,24
98,泸州,晴 无持续风向 <3级,33,多云 无持续风向 <3级,25
99,宜宾,晴 无持续风向 <3级,34,多云 无持续风向 <3级,24
100,内江,多云 无持续风向 <3级,36,晴 无持续风向 <3级,24
101,资阳,多云 无持续风向 <3级,35,多云 无持续风向 <3级,24
102,乐山,多云 无持续风向 <3级,35,多云 无持续风向 <3级,25
103,眉山,多云 无持续风向 <3级,35,多云 无持续风向 <3级,24
104,凉山,多云 无持续风向 <3级,29,小雨 无持续风向 <3级,18
105,雅安,多云 无持续风向 <3级,34,阴 无持续风向 <3级,23
106,甘孜,阵雨 无持续风向 <3级,24,阴 无持续风向 <3级,10
107,阿坝,阵雨 无持续风向 <3级,23,阴 无持续风向 <3级,11
108,德阳,多云 无持续风向 <3级,35,多云 无持续风向 <3级,23
109,广元,多云 无持续风向 <3级,35,多云 无持续风向 <3级,22
